review,rating,date,bank,source,review_clean
Like,5,2025-10-01,BOA,google_play,like
I can't type my otp on it.,1,2025-10-01,BOA,google_play,i can't type my otp on it.
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,google_play,"most of bank apps in ethiopia are linked with ethiopian phone number, i live in us permanently so when i open boa account, i told them where i live and to link it with email address instead of phone # as ethio phone number is not working where i live, unfortunetly my fear appeared and now when i change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps"
jaajja,4,2025-09-30,BOA,google_play,jaajja
I love this bank the best experience ever.,5,2025-09-28,BOA,google_play,i love this bank the best experience ever.
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,google_play,"nothing has been improved, it doesn't work like the previous version."
easy and fast,5,2025-09-24,BOA,google_play,easy and fast
Great,5,2025-09-20,BOA,google_play,great
mobile banking,5,2025-09-19,BOA,google_play,mobile banking
😎,5,2025-09-18,BOA,google_play,😎
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,google_play,"need alot of connection, chooses device, very lug even when there is connection"
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,google_play,on my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. please fix the issue my beloved bank of abyssinia.
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,google_play,since the last update i can open the app crashes a lot and omg its being very slow opening and loading
none,5,2025-09-14,BOA,google_play,none
very good app i ever used,5,2025-09-12,BOA,google_play,very good app i ever used
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,google_play,its nice app especially the transaction limit is extended but we face that boa m.banking app doesn't respond at the activation stage strictly at smsng mobile phone. please try this to make safe.
zedo,5,2025-09-11,BOA,google_play,zedo
please open my mobile app,5,2025-09-10,BOA,google_play,please open my mobile app
it doesn't open,1,2025-09-10,BOA,google_play,it doesn't open
