review,rating,date,bank,source
go ahead,5,2025-11-05,Dashen,google_play
its supper,5,2025-11-04,Dashen,google_play
Good,5,2025-11-04,Dashen,google_play
it's so boring,1,2025-11-04,Dashen,google_play
Dashen Bank Super App is the latest version of online banking system that is the gift from Dashen bank for us Thanks to Dashen,5,2025-11-04,Dashen,google_play
"i rarely leave reviews, but this app truely deserves one.it's efficient ,secure , reliable and makes fanancial tasks effortless.definitely 5 stars for this exceptional app",5,2025-11-04,Dashen,google_play
it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,3,2025-11-04,Dashen,google_play
Amazing,5,2025-11-03,Dashen,google_play
wow dashen bank,5,2025-11-03,Dashen,google_play
ብዙ ነጉር ይቀረዋል ወደ አፑ ስገባ በጣም ይዘገያል ባጭሩ ቀርፋፋ ነው,4,2025-11-02,Dashen,google_play
"I just updated my app to the latest version and I couldn't even see my balance, send money or do anything. It says service is unavailable and it will be fixed soon.",5,2025-11-01,Dashen,google_play
it's too slow,1,2025-11-01,Dashen,google_play
"Before the recent update, this app was great. Now, the home page is cluttered with promotions and banners, which really hurts the experience. I think the app stopped being banking app and started only to promote b/c 95% of the app is only ads, also full of bugs",1,2025-11-01,Dashen,google_play
"This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank",1,2025-11-01,Dashen,google_play
Nice app,5,2025-11-01,Dashen,google_play
The worst app ever. Extremely unreliable. Such a shame for a big bank.,1,2025-10-31,Dashen,google_play
app is too slow not opening fast,1,2025-10-31,Dashen,google_play
good,5,2025-10-30,Dashen,google_play
"it's seems to have some improvements, I don't know what's going on with this app sometimes get collapseed. This is not expected from Dashen bank, which is amongst from famous and greatest banks.",1,2025-10-30,Dashen,google_play
very nise good,5,2025-10-30,Dashen,google_play
very interesting,5,2025-10-30,Dashen,google_play
what your emplyees tell as about the app when they came to our store and what actually the app is different,1,2025-10-30,Dashen,google_play
Excellent promotion,5,2025-10-30,Dashen,google_play
viry good,5,2025-10-29,Dashen,google_play
"Dashen Bank Super App is incredibly convenient! Easy to use, fast, and reliable – a great app to manage everything in one place.",5,2025-10-29,Dashen,google_play
it is the worst app ever istg 🤮🤮🤮,1,2025-10-29,Dashen,google_play
"Dashen Super App is a game-changer with its sleek, user-friendly interface. Lightning-fast responses and seamless navigation make every task a breeze. Love the organized layout and clear features that save time daily. Fantastic work—highly recommended for effortless banking!",5,2025-10-28,Dashen,google_play
"The design is clean and modern, and everything works smoothly without bugs. I love how reliable the app is it makes banking so convenient.",5,2025-10-28,Dashen,google_play
"A true banking super app! The Dashen Super App combines great design, security, and an impressive range of features. Highly recommended for anyone looking for a complete digital banking experience.",5,2025-10-28,Dashen,google_play
"​I appreciate that this app allowed me to access multiple services in one centralized place. Thank you, Dashen Bank!",5,2025-10-28,Dashen,google_play
"This app makes my day-to-day payments so easy. Everything works perfectly, and it saves me a lot of time.",5,2025-10-28,Dashen,google_play
It’s impressive how consistently the app is improving. I’ve been using it for months and they have improved a lot in terms of not only beauty but also performance wise.,5,2025-10-28,Dashen,google_play
This app has replaced several others for me. It has everything I need in one place.,5,2025-10-28,Dashen,google_play
