review,rating,date,bank,source
Excellent,5,2025-08-20,BOA,google_play
besat🥰,5,2025-08-19,BOA,google_play
unlimited experience,5,2025-08-18,BOA,google_play
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-17,BOA,google_play
very nice mobile banking app my favourite,5,2025-08-16,BOA,google_play
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15,BOA,google_play
best apps,5,2025-08-15,BOA,google_play
the worst app ever to exist in a bank history,1,2025-08-15,BOA,google_play
thank you,5,2025-08-14,BOA,google_play
Best mobile app in the country,5,2025-08-14,BOA,google_play
not fast,2,2025-08-12,BOA,google_play
keeps freezing at the front page.,1,2025-08-10,BOA,google_play
it is not working on redminote 11 pro+ pls fix it,1,2025-08-08,BOA,google_play
abseniya bank app,5,2025-08-08,BOA,google_play
good,5,2025-08-05,BOA,google_play
yes goode app,5,2025-08-03,BOA,google_play
Great App,5,2025-08-02,BOA,google_play
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02,BOA,google_play
ረጀብነሱ,1,2025-07-31,BOA,google_play
The Worst Mobile Banking App.,1,2025-07-31,BOA,google_play
giod,5,2025-07-30,BOA,google_play
best bank in ethiopia,5,2025-07-29,BOA,google_play
waqayyoo,5,2025-07-28,BOA,google_play
please is not working,2,2025-07-27,BOA,google_play
nothing when I need to install the Apk it say that re-up date,5,2025-07-25,BOA,google_play
I can log in from any where,5,2025-07-23,BOA,google_play
😇,3,2025-07-21,BOA,google_play
no proplem,5,2025-07-20,BOA,google_play
👍👍👍,5,2025-07-20,BOA,google_play
excellent app,5,2025-07-18,BOA,google_play
good work,5,2025-07-15,BOA,google_play
☹️,5,2025-07-15,BOA,google_play
excellent,5,2025-07-14,BOA,google_play
Great BoA,5,2025-07-14,BOA,google_play
Good,5,2025-07-14,BOA,google_play
Okay,4,2025-07-13,BOA,google_play
not working,1,2025-07-12,BOA,google_play
This App is Getting worse and worse with every update,2,2025-07-11,BOA,google_play
ምርጥ ነው,1,2025-07-10,BOA,google_play
nice,5,2025-07-10,BOA,google_play
Best app,5,2025-07-08,BOA,google_play
meku,5,2025-07-07,BOA,google_play
nice,4,2025-07-04,BOA,google_play
awasome app go a head,5,2025-07-04,BOA,google_play
😎,5,2025-07-03,BOA,google_play
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-03,BOA,google_play
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02,BOA,google_play
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01,BOA,google_play
wow,5,2025-07-01,BOA,google_play
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-27,BOA,google_play
amazing Banks App👌👌,3,2025-06-25,BOA,google_play
goof,5,2025-06-25,BOA,google_play
good App fore me,5,2025-06-25,BOA,google_play
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24,BOA,google_play
fantastic,5,2025-06-22,BOA,google_play
👍,4,2025-06-21,BOA,google_play
it's nice to use.,5,2025-06-21,BOA,google_play
app doesn't start,1,2025-06-21,BOA,google_play
Excellent application,5,2025-06-18,BOA,google_play
its very bad app its very slow,1,2025-06-17,BOA,google_play
ብዙዬ ሺዋየ በለጠ,1,2025-06-15,BOA,google_play
good,1,2025-06-15,BOA,google_play
Good job!,5,2025-06-13,BOA,google_play
best financial app.,5,2025-06-12,BOA,google_play
ቆንጆ ነው በርቱ,5,2025-06-11,BOA,google_play
the worst app humans ever created,1,2025-06-09,BOA,google_play
it's not working,3,2025-06-05,BOA,google_play
